CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000364,60,40,58,0.6
LS-THC-G1-2-E1-10-00B-3030-00000365,60,40,59,0.6
LS-THC-G1-2-E1-10-00B-3030-00000366,60,40,60,0.6
LS-THC-G1-2-E1-10-00B-3030-00000367,60,40,0,0.7
LS-THC-G1-2-E1-10-00B-3030-00000368,60,40,1,0.7
LS-THC-G1-2-E1-10-00B-3030-00000369,60,40,2,0.7
LS-THC-G1-2-E1-10-00B-3030-00000370,60,40,3,0.7
LS-THC-G1-2-E1-10-00B-3030-00000371,60,40,4,0.7
LS-THC-G1-2-E1-10-00B-3030-00000372,60,40,5,0.7
LS-THC-G1-2-E1-10-00B-3030-00000373,60,40,6,0.7
LS-THC-G1-2-E1-10-00B-3030-00000374,60,40,7,0.7
LS-THC-G1-2-E1-10-00B-3030-00000375,60,40,8,0.7
LS-THC-G1-2-E1-10-00B-3030-00000376,60,40,9,0.7
LS-THC-G1-2-E1-10-00B-3030-00000377,60,40,10,0.7
LS-THC-G1-2-E1-10-00B-3030-00000378,60,40,11,0.7
LS-THC-G1-2-E1-10-00B-3030-00000379,60,40,12,0.7
LS-THC-G1-2-E1-10-00B-3030-00000380,60,40,13,0.7
LS-THC-G1-2-E1-10-00B-3030-00000381,60,40,14,0.7
LS-THC-G1-2-E1-10-00B-3030-00000382,60,40,15,0.7
